module_name,alt_module_name,label,alt_label
like,likelihood,w.U,w_U
like,likelihood,w.R,w_R
like,likelihood,w.R.init,w_R_init
like,likelihood,w.R.end,w_R_end
like,likelihood,gradient.max,gradient_max
sel.parms,selectivity,selpar.D,selectivity_parameter_discard
sel.parms,selectivity,selpar.A50.d,selectivity_parameter_A50_discard
sel.parms,selectivity,selpar.slope.d,selectivity_parameter_slope_discard
sel.parms,selectivity,selpar.A502.d,selectivity_parameter_A50_2_discard
sel.parms,selectivity,selpar.slope2.d,selectivity_parameter_slope_2_discard
parm.tvec,population,log.rec.dev,log_recruitment_deviations
parm.tvec.cons,population,log.rec.dev,log_recruitment_deviations
parm.tvec,population,log.F.dev,log_F_deviations
parm.tvec.cons,population,log.F.dev,log_F_deviations
,fleet,log.F.dev.cP,log_F_dev_cP
,fleet,log.F.dev.cT,log_F_dev_cT
parm.tvec,population,log.F.dev.D,log_F_deviations_discard
parm.tvec.cons,population,log.F.dev.D,log_F_deviations_discard
parm.avec,population,log.Nage.dev,log_abundance_deviations
parm.avec.cons,population,log.Nage.dev,log_abundance_deviations
N.age,age,N.age,abundance
N.age.mdyr,age,N.age.mdyr,abundance_midyear
N.age.spawn,age,N.age.spawn,abundance_spawning
B.age,age,B.age,biomass
F.age,age,F.age,fishing_mortality
Z.age,age,Z.age,total_mortality
L.age.pred.knum,age,L.age.pred.knum,landings_predicted_numbers
L.age.pred.klb,age,L.age.pred.klb,landings_predicted_weight
size.age.fishery,age,len.mm,length
,age,len.cP.mm,length
,age,len.cT.mm,len_cT_mm
,age,len.D.mm,len_D_mm
a.series,age,wgt.klb,weight
,age,wgt.cP.klb,wgt_cP_klb
,age,wgt.cT.klb,wgt_cT_klb
,age,wgt.D.klb,wgt_D_klb
sel.age,age,sel.v.wgted.L,sel_v_wgted_L
sel.age,age,sel.v.wgted.D,sel_v_wgted_D
sel.age,age,sel.v.wgted.tot,sel_v_wgted_tot
sel.age,age,sel.v,sel_v
sel.age,age,sel.v.Mcvt,sel_v_Mcvt
,age,sel.m,sel_m
,age,sel.m.D,sel_m_D
comp.mats,population,lcomp.ob,length_composition_expected
,population,lcomp.pr,length_composition_predicted
,population,lcomp.D.ob,length_composition_discard_expected
,population,lcomp.D.pr,length_composition_discard_predicted
,population,acomp.ob,age_composition_expected
,population,acomp.pr,age_composition_predicted
,fleet,acomp.Mcvt.ob,age_composition_expected
,fleet,acomp.Mcvt.pr,age_composition_predicted
sdnr,,sdnr.U,sdnr_U
t.series,reference_point,F.Fmsy,F_F_msy
t.series,population,F.full,fishing_mortality_full
t.series,population,F,fishing_mortality
t.series,population,F.D,fishing_mortality_discards
t.series,population,Fsum,total_fishing_mortality
t.series,population,N,abundance
t.series,population,recruits,recruitment
t.series,population,logR.dev,log_recruitment_deviations
t.series,population,SSB.SSBmsy,SB_SB_msy
t.series,population,SSB.msst,SB_msst
t.series,population,SSB.SSBFproxy,SB_SB_Fproxy
t.series,population,B.B0,B_B0
t.series,population,MatFemB,mature_female_biomass
t.series,population,SPR.static,spr
t.series,population,total.L.klb,landings_weight
t.series,population,total.L.knum,landings_numbers
t.series,population,total.D.klb,discards_weight
t.series,population,total.D.knum,discards_numbers
t.series,population,U.ob,indices_expected
t.series,population,U.pr,indices_predicted
t.series,population,cv.U,indices_cv
t.series,population,q.rate.mult,catchability_rate
t.series,population,q.DD.mult,q_DD_mult
t.series,population,q.DD.B.4plus,q_DD_B_4plus
t.series,population,q.RW.log.dev,q_RW_log_dev
t.series,population,L.ob,landings_expected
t.series,population,L.pr,landings_predicted
t.series,population,cv.L,landings_cv
t.series,population,D.ob,discard_expected
t.series,population,D.pr,discard_predicted
t.series,population,cv.D,discard_cv
t.series,population,cl.D.release,cl_D_release
t.series,population,cl.Dosed.release,cl_Dosed_release
t.series,population,cp.D.release,cp_D_release
t.series,population,cp.Dosed.release,cp_Dosed_release
t.series,population,hb.D.release,hb_D_release
t.series,population,mrip.D.release,mrip_D_release
t.series,population,lcomp.n,length_composition
t.series,population,lcomp.D.n,length_composition_discards
t.series,population,acomp.n,age_composition
t.series,population,acomp.Mcvt.n,acomp_Mcvt_n
t.series,population,lcomp.nfish,lcomp_nfish
t.series,population,lcomp.D.nfish,lcomp_D_nfish
t.series,population,acomp.nfish,acomp_nfish
t.series,population,acomp.Mcvt.nfish,acomp_Mcvt_nfish
t.series,population,lcomp.neff,lcomp_neff
t.series,population,lcomp.D.neff,lcomp_D_neff
t.series,population,acomp.neff,acomp_neff
t.series,population,acomp.Mcvt.neff,acomp_Mcvt_neff
LD.pr.tseries,population,L.klb,landings_weight
LD.pr.tseries,population,L.knum,landings_numbers
LD.pr.tseries,population,D.klb,discard_weight
LD.pr.tseries,population,D.knum,discard_numbers
LD.pr.tseries,population,l.klb,landings_weight
LD.pr.tseries,population,l.knum,landings_numbers
LD.pr.tseries,population,d.klb,discard_weight
LD.pr.tseries,population,d.knum,discard_numbers
a.series,age,length,length
a.series,age,length.cv,length_cv
a.series,age,length.sd,length_sd
a.series,age,weight,weight
a.series,age,wgt.mt,wgt_mt
a.series,age,wgt.wgted.L.klb,wgt_wgted_L_klb
a.series,age,wgt.wgted.D.klb,wgt_wgted_D_klb
a.series,age,prop.female,proportion_female
a.series,age,mat.female,mature_female
a.series,age,fecundity.scaled,fecundity_scaled
a.series,age,reprod,reprod
a.series,age,reprod.MatFemB,reprod_MatFemB
a.series,age,M,natural_mortality
a.series,age,F.initial,F_initial
a.series,age,Z.initial,Z_initial
a.series,age,Nage.eq.init,Nage_eq_init
a.series,age,log.Nage2plus.init.dev,log_Nage2plus_plus.init_dev
eq.series,,F.eq,fishing_mortality
eq.series,,spr.eq,spr
eq.series,,R.eq,recruitment
eq.series,,SSB.eq,spawning_biomass
eq.series,,B.eq,biomass
eq.series,,L.eq.klb,landings_weight
eq.series,,D.eq.knum,discard_numbers
eq.series,,D.eq.klb,discard_weight
pr.series,,F.spr,f_spr
pr.series,,spr,spr
pr.series,,SPR,spr
pr.series,,ypr.lb,ypr
pr.series,,total.lb,total_lb
CLD.est.mats,,Lw,Lw
CLD.est.mats,,Lw.total,Lw_total
CLD.est.mats,,Dw,Dw
CLD.est.mats,,Dw.total,Dw_total
CLD.est.mats,,Ln,Ln
CLD.est.mats,,Ln.total,Ln_total
CLD.est.mats,,Dn,Dn
CLD.est.mats,,Dn.total,Dn_total
age.error,,error.mat,error_mat
proj.t.series,projection,F.proj,fishing_mortality
proj.t.series,projection,SSB.proj,spawning_biomass
proj.t.series,projection,B.proj,biomass
proj.t.series,projection,R.proj,recruitment
proj.t.series,projection,L.knum.proj,landings_numbers
proj.t.series,projection,L.klb.proj,landings_weight
proj.N.age,projection,proj.N.age,abundance
